id_voo,numero_voo,data_voo,ano,mes,mes_nome,ano_mes,dia_semana,origem_cidade,origem_iata,origem_uf,origem_regiao,origem_lat,origem_lon,destino_cidade,destino_iata,destino_uf,destino_regiao,destino_lat,destino_lon,rota,distancia_km,tipo_aeronave,capacidade_aeronave,passageiros,taxa_ocupacao,preco_medio_passagem,receita_voo,custo_voo,lucro_voo,atraso_minutos,situacao_voo,motivo_atraso_cancelamento,duracao_minutos,satisfacao_passageiros
V100260,VX9490,2024-10-07,2024,10,Outubro,2024-10,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Recife,REC,PE,Nordeste,-8.1264,-34.9236,GRU - REC,2101,Airbus A321neo,220,172,0.7818,410.1100,70538.9200,68315.3200,2223.6000,3.0000,Pontual,Sem intercorrência,185,4.8000
V100261,VX9726,2024-10-07,2024,10,Outubro,2024-10,Segunda,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Vitória,VIX,ES,Sudeste,-20.2581,-40.2864,CGH - VIX,756,Embraer E195-E2,136,98,0.7206,277.8600,27230.2800,29462.2300,-2231.9500,52.0000,Atrasado,Congestionamento do aeroporto,84,3.0000
V100262,VX9161,2024-10-07,2024,10,Outubro,2024-10,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Airbus A320neo,180,130,0.7222,325.2200,42278.6000,36444.2300,5834.3700,2.0000,Pontual,Sem intercorrência,93,4.4000
V100263,VX4738,2024-10-08,2024,10,Outubro,2024-10,Terça,Maceió,MCZ,AL,Nordeste,-9.5108,-35.7917,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,MCZ - NAT,419,ATR 72-600,70,56,0.8000,198.9200,11139.5200,13637.1100,-2497.5900,0.0000,Pontual,Sem intercorrência,64,5.0000
V100264,VX3897,2024-10-08,2024,10,Outubro,2024-10,Terça,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,CGB - BSB,877,Boeing 737-800,186,145,0.7796,299.7000,43456.5000,40750.7000,2705.8000,4.0000,Pontual,Sem intercorrência,98,4.7000
V100265,VX9347,2024-10-08,2024,10,Outubro,2024-10,Terça,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,CNF - CGH,524,ATR 72-600,70,54,0.7714,209.4700,11311.3800,12278.6100,-967.2300,8.0000,Pontual,Sem intercorrência,63,4.0000
V100266,VX7415,2024-10-08,2024,10,Outubro,2024-10,Terça,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Embraer E195-E2,136,120,0.8824,278.0200,33362.4000,31475.4200,1886.9800,462.0000,Atrasado,Manutenção técnica,85,1.0000
V100267,VX5170,2024-10-08,2024,10,Outubro,2024-10,Terça,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,GIG - POA,1122,Boeing 737-800,186,109,0.5860,244.5400,26654.8600,43998.4600,-17343.6000,11.0000,Pontual,Sem intercorrência,100,4.1000
V100268,VX2727,2024-10-08,2024,10,Outubro,2024-10,Terça,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,Recife,REC,PE,Nordeste,-8.1264,-34.9236,POA - REC,2963,Airbus A321neo,220,161,0.7318,586.9700,94502.1700,96051.8100,-1549.6400,37.0000,Atrasado,Atraso da aeronave anterior,245,4.5000
V100269,VX8295,2024-10-08,2024,10,Outubro,2024-10,Terça,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GIG - BSB,914,Embraer E195-E2,136,103,0.7574,285.6100,29417.8300,24429.0300,4988.8000,2.0000,Pontual,Sem intercorrência,89,4.3000
V100270,VX9067,2024-10-09,2024,10,Outubro,2024-10,Quarta,Belém,BEL,PA,Norte,-1.3792,-48.4763,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BEL - GRU,2462,Boeing 737-800,186,162,0.8710,492.5600,79794.7200,70246.4000,9548.3200,3.0000,Pontual,Sem intercorrência,208,3.7000
V100271,VX9157,2024-10-09,2024,10,Outubro,2024-10,Quarta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Vitória,VIX,ES,Sudeste,-20.2581,-40.2864,GRU - VIX,730,Airbus A320neo,180,151,0.8389,345.1600,52119.1600,35366.6100,16752.5500,0.0000,Pontual,Sem intercorrência,86,4.7000
V100272,VX5914,2024-10-09,2024,10,Outubro,2024-10,Quarta,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,FOR - NAT,414,Embraer E195-E2,136,96,0.7059,218.2900,20955.8400,24220.0400,-3264.2000,0.0000,Pontual,Sem intercorrência,63,4.3000
V100273,VX1919,2024-10-09,2024,10,Outubro,2024-10,Quarta,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,VCP - FOR,2330,Embraer E195-E2,136,90,0.6618,433.7800,39040.2000,54473.6600,-15433.4600,9.0000,Pontual,Sem intercorrência,194,4.0000
V100274,VX4205,2024-10-09,2024,10,Outubro,2024-10,Quarta,Belém,BEL,PA,Norte,-1.3792,-48.4763,Recife,REC,PE,Nordeste,-8.1264,-34.9236,BEL - REC,1678,Boeing 737-800,186,174,0.9355,340.5100,59248.7400,68696.5700,-9447.8300,9.0000,Pontual,Sem intercorrência,158,3.2000
V100275,VX4596,2024-10-09,2024,10,Outubro,2024-10,Quarta,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,CGB - SSA,1941,Boeing 737-800,186,119,0.6398,379.5000,45160.5000,64902.5300,-19742.0300,7.0000,Pontual,Sem intercorrência,164,4.2000
V100276,VX5096,2024-10-10,2024,10,Outubro,2024-10,Quinta,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,POA - SDU,1120,Airbus A320neo,180,143,0.7944,414.9400,59336.4200,38654.2000,20682.2200,24.0000,Atrasado,Congestionamento do aeroporto,105,5.0000
V100277,VX2884,2024-10-10,2024,10,Outubro,2024-10,Quinta,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,GIG - FOR,2176,Airbus A320neo,180,163,0.9056,405.3300,66068.7900,64399.8200,1668.9700,71.0000,Atrasado,Restrição de tráfego aéreo,195,3.9000
V100278,VX3413,2024-10-10,2024,10,Outubro,2024-10,Quinta,Recife,REC,PE,Nordeste,-8.1264,-34.9236,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,REC - FOR,627,Embraer E195-E2,136,123,0.9044,245.0200,30137.4600,23559.3300,6578.1300,2.0000,Pontual,Sem intercorrência,70,4.2000
V100279,VX7185,2024-10-10,2024,10,Outubro,2024-10,Quinta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Embraer E195-E2,136,115,0.8456,271.8900,31267.3500,25883.4900,5383.8600,60.0000,Atrasado,Atraso da aeronave anterior,74,3.7000
V100280,VX1460,2024-10-10,2024,10,Outubro,2024-10,Quinta,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SSA - CGH,1480,Airbus A321neo,220,175,0.7955,358.6500,62763.7500,55170.5800,7593.1700,6.0000,Pontual,Sem intercorrência,139,3.4000
V100281,VX3055,2024-10-10,2024,10,Outubro,2024-10,Quinta,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,NAT - GRU,2296,Airbus A320neo,180,125,0.6944,474.5200,59315.0000,58059.3400,1255.6600,0.0000,Pontual,Sem intercorrência,192,4.5000
V100282,VX4689,2024-10-11,2024,10,Outubro,2024-10,Sexta,Recife,REC,PE,Nordeste,-8.1264,-34.9236,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,REC - NAT,267,Airbus A320neo,180,163,0.9056,208.3800,33965.9400,24522.5700,9443.3700,9.0000,Pontual,Sem intercorrência,40,4.2000
V100283,VX3159,2024-10-11,2024,10,Outubro,2024-10,Sexta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CGH - SDU,366,ATR 72-600,70,54,0.7714,223.7800,12084.1200,13561.7800,-1477.6600,3.0000,Pontual,Sem intercorrência,69,3.2000
V100284,VX5873,2024-10-11,2024,10,Outubro,2024-10,Sexta,Belém,BEL,PA,Norte,-1.3792,-48.4763,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BEL - GRU,2462,Airbus A320neo,180,154,0.8556,465.3300,71660.8200,68067.8400,3592.9800,5.0000,Pontual,Sem intercorrência,209,3.4000
V100285,VX3307,2024-10-11,2024,10,Outubro,2024-10,Sexta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,CGH - GYN,823,Airbus A321neo,220,201,0.9136,281.0400,56489.0400,40779.6700,15709.3700,39.0000,Atrasado,Congestionamento do aeroporto,95,3.9000
V100286,VX1615,2024-10-11,2024,10,Outubro,2024-10,Sexta,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,CWB - GRU,359,Embraer E195-E2,136,86,0.6324,240.4300,20676.9800,20878.3200,-201.3400,1.0000,Pontual,Sem intercorrência,54,4.6000
V100287,VX1507,2024-10-11,2024,10,Outubro,2024-10,Sexta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Embraer E195-E2,136,91,0.6691,215.1100,19575.0100,19924.4800,-349.4700,7.0000,Pontual,Sem intercorrência,52,4.7000
V100288,VX8269,2024-10-11,2024,10,Outubro,2024-10,Sexta,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,GIG - POA,1122,Airbus A320neo,180,110,0.6111,289.6100,31857.1000,44177.2500,-12320.1500,4.0000,Pontual,Sem intercorrência,116,5.0000
V100289,VX7090,2024-10-11,2024,10,Outubro,2024-10,Sexta,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,FOR - VCP,2330,Boeing 737-800,186,164,0.8817,459.1700,75303.8800,71811.1900,3492.6900,3.0000,Pontual,Sem intercorrência,198,3.6000
V100290,VX5067,2024-10-11,2024,10,Outubro,2024-10,Sexta,Manaus,MAO,AM,Norte,-3.0386,-60.0497,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,MAO - POA,3140,Airbus A320neo,180,121,0.6722,583.7700,70636.1700,80296.9900,-9660.8200,0.0000,Pontual,Sem intercorrência,267,4.3000
V100291,VX6631,2024-10-12,2024,10,Outubro,2024-10,Sábado,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Boeing 737-800,186,163,0.8763,225.0200,36678.2600,37233.1600,-554.9000,51.0000,Atrasado,Congestionamento do aeroporto,88,4.0000
V100292,VX9295,2024-10-12,2024,10,Outubro,2024-10,Sábado,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Embraer E195-E2,136,103,0.7574,270.8600,27898.5800,28893.4800,-994.9000,4.0000,Pontual,Sem intercorrência,89,3.3000
V100293,VX4203,2024-10-12,2024,10,Outubro,2024-10,Sábado,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,Belém,BEL,PA,Norte,-1.3792,-48.4763,NAT - BEL,1533,Embraer E195-E2,136,112,0.8235,424.4800,47541.7600,40382.1700,7159.5900,44.0000,Atrasado,Condições meteorológicas,130,4.5000
V100294,VX5252,2024-10-12,2024,10,Outubro,2024-10,Sábado,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,ATR 72-600,70,70,1.0000,205.9600,14417.2000,13445.4800,971.7200,114.0000,Atrasado,Documentação/embarque de passageiros,62,3.5000
V100295,VX8957,2024-10-12,2024,10,Outubro,2024-10,Sábado,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,Airbus A320neo,180,128,0.7111,210.6500,26963.2000,28831.9600,-1868.7600,0.0000,Pontual,Sem intercorrência,59,5.0000
V100296,VX1488,2024-10-12,2024,10,Outubro,2024-10,Sábado,Belém,BEL,PA,Norte,-1.3792,-48.4763,Recife,REC,PE,Nordeste,-8.1264,-34.9236,BEL - REC,1678,Airbus A321neo,220,115,0.5227,400.3800,46043.7000,63543.3000,-17499.6000,5.0000,Pontual,Sem intercorrência,149,2.9000
V100297,VX7210,2024-10-12,2024,10,Outubro,2024-10,Sábado,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,GIG - GRU,337,ATR 72-600,70,61,0.8714,193.7300,11817.5300,11271.2400,546.2900,0.0000,Pontual,Sem intercorrência,53,3.8000
V100298,VX4474,2024-10-12,2024,10,Outubro,2024-10,Sábado,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Boeing 737-800,186,104,0.5591,231.7000,24096.8000,40466.0500,-16369.2500,6.0000,Pontual,Sem intercorrência,84,4.4000
V100299,VX8274,2024-10-13,2024,10,Outubro,2024-10,Domingo,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,BSB - VCP,798,Airbus A320neo,180,157,0.8722,280.4700,44033.7900,37832.0300,6201.7600,2.0000,Pontual,Sem intercorrência,102,3.5000
V100300,VX6273,2024-10-13,2024,10,Outubro,2024-10,Domingo,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,ATR 72-600,70,59,0.8429,193.5100,11417.0900,11176.3100,240.7800,32.0000,Atrasado,Condições meteorológicas,49,3.8000
V100301,VX8409,2024-10-13,2024,10,Outubro,2024-10,Domingo,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Vitória,VIX,ES,Sudeste,-20.2581,-40.2864,FOR - VIX,1843,Airbus A321neo,220,171,0.7773,299.8800,51279.4800,70574.6000,-19295.1200,5.0000,Pontual,Sem intercorrência,165,4.0000
V100302,VX5588,2024-10-13,2024,10,Outubro,2024-10,Domingo,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,CNF - GRU,496,ATR 72-600,70,56,0.8000,233.1800,13058.0800,14468.0500,-1409.9700,2.0000,Pontual,Sem intercorrência,67,3.8000
V100303,VX6064,2024-10-13,2024,10,Outubro,2024-10,Domingo,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,CNF - GRU,496,ATR 72-600,70,62,0.8857,253.5400,15719.4800,16813.9400,-1094.4600,144.0000,Atrasado,Atraso da aeronave anterior,78,2.5000
V100304,VX5559,2024-10-13,2024,10,Outubro,2024-10,Domingo,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,CGH - GIG,360,ATR 72-600,70,57,0.8143,228.5900,13029.6300,13552.4100,-522.7800,0.0000,Pontual,Sem intercorrência,68,4.0000
V100305,VX5059,2024-10-13,2024,10,Outubro,2024-10,Domingo,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,POA - GRU,866,Airbus A321neo,220,179,0.8136,254.8700,45621.7300,41692.0700,3929.6600,7.0000,Pontual,Sem intercorrência,89,3.7000
V100306,VX3565,2024-10-13,2024,10,Outubro,2024-10,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,SDU - FLN,757,Airbus A320neo,180,118,0.6556,245.6500,28986.7000,33712.2400,-4725.5400,0.0000,Pontual,Sem intercorrência,87,4.5000
V100307,VX9947,2024-10-13,2024,10,Outubro,2024-10,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,SDU - GRU,343,ATR 72-600,70,52,0.7429,242.8400,12627.6800,11072.8400,1554.8400,0.0000,Pontual,Sem intercorrência,49,4.2000
V100308,VX2983,2024-10-13,2024,10,Outubro,2024-10,Domingo,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,CNF - GIG,361,Airbus A320neo,180,133,0.7389,211.8900,28181.3700,25532.8200,2648.5500,4.0000,Pontual,Sem intercorrência,63,4.2000
V100309,VX8516,2024-10-13,2024,10,Outubro,2024-10,Domingo,Vitória,VIX,ES,Sudeste,-20.2581,-40.2864,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,VIX - SDU,419,Airbus A320neo,180,149,0.8278,244.3300,36405.1700,25886.1400,10519.0300,2.0000,Pontual,Sem intercorrência,51,4.3000
V100310,VX4885,2024-10-13,2024,10,Outubro,2024-10,Domingo,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,BSB - CGH,873,Airbus A320neo,180,142,0.7889,325.0700,46159.9400,34289.4100,11870.5300,1.0000,Pontual,Sem intercorrência,86,4.5000
V100311,VX6647,2024-10-14,2024,10,Outubro,2024-10,Segunda,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,SSA - FLN,1955,Airbus A320neo,180,135,0.7500,377.8100,51004.3500,64080.0300,-13075.6800,3.0000,Pontual,Sem intercorrência,169,4.4000
V100312,VX4319,2024-10-14,2024,10,Outubro,2024-10,Segunda,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,Maceió,MCZ,AL,Nordeste,-9.5108,-35.7917,GYN - MCZ,1655,Embraer E195-E2,136,124,0.9118,423.1600,52471.8400,45423.5400,7048.3000,4.0000,Pontual,Sem intercorrência,142,4.6000
V100313,VX5026,2024-10-14,2024,10,Outubro,2024-10,Segunda,Maceió,MCZ,AL,Nordeste,-9.5108,-35.7917,Recife,REC,PE,Nordeste,-8.1264,-34.9236,MCZ - REC,181,Embraer E195-E2,136,102,0.7500,234.3500,23903.7000,18710.8900,5192.8100,5.0000,Pontual,Sem intercorrência,44,3.8000
V100314,VX8128,2024-10-14,2024,10,Outubro,2024-10,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,BSB - FLN,1314,Embraer E195-E2,136,110,0.8088,320.1100,35212.1000,30546.1400,4665.9600,6.0000,Pontual,Sem intercorrência,116,4.3000
V100315,VX1074,2024-10-14,2024,10,Outubro,2024-10,Segunda,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,FLN - CGH,488,Airbus A320neo,180,130,0.7222,282.2900,36697.7000,27119.3100,9578.3900,3.0000,Pontual,Sem intercorrência,57,2.9000
V100316,VX8937,2024-10-14,2024,10,Outubro,2024-10,Segunda,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,VCP - SDU,407,Airbus A320neo,180,131,0.7278,236.5100,30982.8100,27249.7800,3733.0300,6.0000,Pontual,Sem intercorrência,60,3.6000
V100317,VX1921,2024-10-14,2024,10,Outubro,2024-10,Segunda,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,CWB - POA,534,ATR 72-600,70,47,0.6714,233.9900,10997.5300,16496.5900,-5499.0600,52.0000,Atrasado,Atraso da aeronave anterior,74,4.0000
V100318,VX7296,2024-10-14,2024,10,Outubro,2024-10,Segunda,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Embraer E195-E2,136,115,0.8456,200.6600,23075.9000,19699.4300,3376.4700,4.0000,Pontual,Sem intercorrência,50,4.4000
V100319,VX6085,2024-10-14,2024,10,Outubro,2024-10,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Boeing 737-800,186,153,0.8226,307.3200,47019.9600,34149.8900,12870.0700,52.0000,Atrasado,Congestionamento do aeroporto,82,3.8000
V100320,VX8086,2024-10-14,2024,10,Outubro,2024-10,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,Boeing 737-800,186,151,0.8118,217.3300,32816.8300,27383.2800,5433.5500,0.0000,Pontual,Sem intercorrência,62,4.2000
V100321,VX5935,2024-10-15,2024,10,Outubro,2024-10,Terça,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,ATR 72-600,70,57,0.8143,199.8700,11392.5900,13505.8300,-2113.2400,2.0000,Pontual,Sem intercorrência,57,4.0000
V100322,VX9178,2024-10-15,2024,10,Outubro,2024-10,Terça,Recife,REC,PE,Nordeste,-8.1264,-34.9236,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,REC - GRU,2101,Boeing 737-800,186,146,0.7849,432.6800,63171.2800,63341.4700,-170.1900,0.0000,Pontual,Sem intercorrência,180,3.7000
V100323,VX8601,2024-10-15,2024,10,Outubro,2024-10,Terça,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Recife,REC,PE,Nordeste,-8.1264,-34.9236,BSB - REC,1654,Boeing 737-800,186,140,0.7527,349.5000,48930.0000,54754.9700,-5824.9700,7.0000,Pontual,Sem intercorrência,150,4.7000
V100324,VX8937,2024-10-16,2024,10,Outubro,2024-10,Quarta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,GRU - GIG,337,ATR 72-600,70,62,0.8857,189.1000,11724.2000,12273.5400,-549.3400,36.0000,Atrasado,Condições meteorológicas,59,3.6000
V100325,VX8193,2024-10-16,2024,10,Outubro,2024-10,Quarta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,ATR 72-600,70,50,0.7143,197.0800,9854.0000,13026.1600,-3172.1600,3.0000,Pontual,Sem intercorrência,60,4.3000
V100326,VX3926,2024-10-16,2024,10,Outubro,2024-10,Quarta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Airbus A321neo,220,220,1.0000,366.9900,80737.8000,42958.5100,37779.2900,0.0000,Pontual,Sem intercorrência,88,3.4000
V100327,VX5489,2024-10-16,2024,10,Outubro,2024-10,Quarta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Embraer E195-E2,136,82,0.6029,196.8700,16143.3400,24048.1100,-7904.7700,6.0000,Pontual,Sem intercorrência,64,3.2000
V100328,VX6336,2024-10-16,2024,10,Outubro,2024-10,Quarta,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,FOR - CWB,2672,Airbus A320neo,180,153,0.8500,493.4900,75503.9700,76212.1700,-708.2000,102.0000,Atrasado,Congestionamento do aeroporto,224,3.2000
V100329,VX9847,2024-10-16,2024,10,Outubro,2024-10,Quarta,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,Recife,REC,PE,Nordeste,-8.1264,-34.9236,POA - REC,2963,Boeing 787-9,296,146,0.4932,726.3400,106045.6400,127764.6900,-21719.0500,4.0000,Pontual,Sem intercorrência,245,4.1000
V100330,VX6202,2024-10-16,2024,10,Outubro,2024-10,Quarta,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,SSA - POA,2315,Boeing 737-800,186,152,0.8172,439.8400,66855.6800,67397.4100,-541.7300,1.0000,Pontual,Sem intercorrência,198,4.6000
V100331,VX4631,2024-10-17,2024,10,Outubro,2024-10,Quinta,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,FLN - CNF,1008,Airbus A321neo,220,143,0.6500,290.6600,41564.3800,44858.6100,-3294.2300,3.0000,Pontual,Sem intercorrência,107,3.8000
V100332,VX8416,2024-10-17,2024,10,Outubro,2024-10,Quinta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,ATR 72-600,70,65,0.9286,201.6500,13107.2500,14712.8000,-1605.5500,104.0000,Atrasado,Congestionamento do aeroporto,66,3.2000
V100333,VX4569,2024-10-17,2024,10,Outubro,2024-10,Quinta,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,GIG - GRU,337,Embraer E195-E2,136,98,0.7206,229.2000,22461.6000,19561.2400,2900.3600,0.0000,Pontual,Sem intercorrência,49,4.5000
V100334,VX3141,2024-10-17,2024,10,Outubro,2024-10,Quinta,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CWB - SDU,676,ATR 72-600,70,62,0.8857,273.1100,16932.8200,17463.0400,-530.2200,41.0000,Atrasado,Problema operacional em solo,82,2.4000
V100335,VX7727,2024-10-17,2024,10,Outubro,2024-10,Quinta,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,SSA - GRU,1452,Embraer E195-E2,136,126,0.9265,385.8100,48612.0600,35543.9800,13068.0800,34.0000,Atrasado,Congestionamento do aeroporto,129,3.7000
V100336,VX5190,2024-10-17,2024,10,Outubro,2024-10,Quinta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Airbus A320neo,180,0,0.0000,324.0900,0.0000,10782.2800,-10782.2800,,Cancelado,Manutenção técnica,85,
